TSZ,ÁT,Rövid szöveg,Hosszú szöveg,TJ-menny.,VÁ-menny.,ME,Eá,FE,Óra,Anyag,Díj,15.,16.,17.,18.,Maradék,TÖ,FE.1
1,,Projekt TJ,,,,,,,,,,,,,,,#REF!,HUF
01.,,Földmunka,,,,,,,,,,,,,,,#REF!,HUF
01.01.,,Földmunka,,,,,,,,,,,,,,,#REF!,HUF
02.,,Helyszíni beton és vasbeton,,,,,,,,,,,,,,,#REF!,HUF
02.01.,,Betonozás,,,,,,,,,,,,,,,#REF!,HUF
02.02.,,Zsaluzás,,,,,,,,,,,,,,,#REF!,HUF
02.03.,,Betonacél,,,,,,,,,,,,,,,#REF!,HUF
03.,,Útépítés,,,,,,,,,,,,,,,#REF!,HUF
03.01.,,Felépítményi munkák,,,,,,,,,,,,,,,#REF!,HUF
04.,,Vakolás,,,,,,,,,,,,,,,#REF!,HUF
04.01.,,Vakolás,,,,,,,,,,,,,,,#REF!,HUF
05.,,Vasútépítés,,,,,,,,,,,,,,,#REF!,HUF
05.01.,,Vasúti pálya,,,,,,,,,,,,,,,#REF!,HUF
