modified,"Work/
Munkanem","Work/
Munkanem","Position/
tétel",Description,Leírás," Quantity/
mennyiség ","Unit/
egység","Quantity modification from GC 
(if needed +/- )","Materila unit price/
anyag egység ár HUF","Unit worker fees/
munka díj    egység ár   HUF","Unit price sum/
összes egység ár   HUF","Sum/
Összesen
HUF",,,,,,,
,200,,,Clearance and development (partly known),Területelőkészítés,,,,,,,0,,,,,,,
,,,,Note,Megjegyzés:,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,1
,200,210,,Clearance,Területelőkészítés,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,2
,300,311,1,"Protective measures (Top soil removal) humus- only Phase I., only excavation 
- from 101,50 to 100,90 mBf
- ave. 60cm thick on building, paved, planted areas, reservoirs, ditches ","Felső talajréteghumusz  eltávolítása 60 cm vastagságban (tömör m3)
101,50 - től 100,90 mBf- ig
- ave. 60cm thick on building, paved, planted areas, reservoirs, ditches "," 54,411.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,3
,300,311,2,Top soil deposition on site (40% of CG211) ca. this amount possible,felső talajréteg elhelyezése ideiglenes depóniában a területen," 18,120.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,4
,300,311,3,"Top soil removal from site, incl. transport, deposit fees (60% of CG211)",Felső  talajréteg elszállítása engedéllyel rendelkező lerakóhelyre (e.i. 10 km távolság) (tömör m3)," 28,521.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,5
,300,311,4,Treatment of temporary soil landfill,Ideiglenes talaj depónia kezelése, 1.00    ,klt,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,6
,300,311,5,"Site surface clearance (filling) - Phase I. only, from 100,90 to 102,10 mBf 
Filling with 20/55 antifreeze gravel, layered (layer thickness max. 30 cm) compaction","Feltöltés készítése csak I fázis
100,90-től 102,10 mBf-ig 
Töltés készítése 20/55 fagyálló murva beépítésével, rétegenkénti (rétegvastagság max 30 cm) tömörítéssel"," 53,035.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,7
,300,311,6,"""Spreading top soil in the area 40 cm thick",Humusz terítése a területen 40 cm vastagságban," 6,893.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,8
x,300,311,7,Further cut into subsoil,További bevágás termett talajba," 2,706.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,9
x,300,311,8,Filling of excavated material,Visszatöltés helyi anyagból, 108.00    ,m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,10
x,300,311,9,Storage of excvated material in depot and transport ,föld felrakás és elszállítás," 2,598.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,11
,300,311,,Clearance total,Területelőkészítés összesen,,,,,,,0,,IGAZ,IGAZ,HAMIS,!!!,,12
,300,310,,Earthworks,Földmunkák ,,,,,,,0,,IGAZ,IGAZ,HAMIS,!!!,,13
,,,,Note,Megjegyzés:,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,14
,300,311,,Excavation for foundations and slabs,Munkagödör kiemelése alapozáshoz,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,15
,300,311,10,"Excavation (from -0,6m)","föld kiemelés (-0,60 szinttől)"," 11,190.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,16
,300,311,11,"Backfill (from -0,6m)","föld visszatöltés (-0,60 m szintig)"," 3,296.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,17
,300,311,12,Storage of excvated material in depot and transport (30% loosening),föld felrakás és elszállítás (30% lazulással számolva)," 10,263.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,18
,300,311,13,"30-35 cm (acc. to 324.3/4) soil improvement with well compacted granular material, TRγ=95%,  (from the level of -0,60 m)","30-35 cm (324.3/4 szerint) jól tömöríthető talajjavító réteg, szemcsés anyagból, TRγ=95%, t (-0,60 m szintől)"," 9,658.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,19
,300,311,,Excavation for foundations and slabs total,Munkagödör kiemelése alapozáshoz összesen,,,,,,,0,,IGAZ,IGAZ,HAMIS,!!!,,20
,300,320,,Foundation,Alapozási munkák ,,,,,,,0,,IGAZ,IGAZ,HAMIS,!!!,,21
,300,323,,Block foundation - sub-base concrete on site,Tömb alapozások helyszíni beton és vasbeton munkák,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,22
x,,,,"Visible concrete surfaces to be performed according to following requirements:
- All visible surfaces class SB2
- All others class SB1
DBV Merkblatt Sichtbeton Fassung 2004","beton felületek kialakítása alábbi követelmények szerint:
- látszóbeton: SB2
- egyéb betonfelületek: SB1
DBV Merkblatt Sichtbeton Fassung 2004",,,,,,,,,IGAZ,IGAZ,IGAZ,0,,23
,,,,Block foundation - sub-base concrete  (no reinforcement),Helyszíni betonozási munkák,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,24
,300,323,1,Concrete underfill (C12/15),Alábetonozás (C12/15)," 4,000.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,25
,,,,Block foundation - In-situ reinforced concrete (RC),Helyszíni vasbeton munkák,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,26
,300,323,2,"Cast-in-situ reinforced concrete foundation reinforcement, formwork complet beam (C30/37)",Mon. vb talpgerenda vasalással zsaluzással kompletten(C30/37), 269.00    ,m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,27
,300,323,3,"CiS foundaments reinforcement, formwork complet C30/37) h=80cm",Mon. vb alapok vasalással zsaluzással kompletten (C30/37) 80 cm magas," 2,010.00    ",m3,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,28
,,,,Block foundation - PC cups,Kehelyalapok (előregyártott),,,,,,,,,IGAZ,IGAZ,IGAZ,0,,29
,300,323,4,Ny.01; 6 t/pcs,Ny.01 jelű 6 t/db, 41.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,30
,300,323,5,"Ny.02; 5,63 t/pcs","Ny.02 jelű 5,63 t/db", 49.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,31
,300,323,6,"Ny.03; 3,44 t/pcs","Ny.03 jelű 3,44 t/db", 37.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,32
,300,323,7,"Ny.04; 5,44 t/pcs","Ny.04 jelű 5,44 t/db", 4.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,33
,300,323,8,"Ny.05; 10,95 t/pcs","Ny.05 jelű 10,95 t/db", 26.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,34
,300,323,9,"Ny.06; 8,09 t/pcs","Ny.06 jelű 8,09 t/db", 5.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,35
,300,323,10,"Ny.07; 10,39 t/pcs","Ny.07 jelű 10,39 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,36
,300,323,11,"Ny.08;  7,88 t/pcs","Ny.08 jelű 7,88 t/db", 3.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,37
,300,323,12,"Ny.09; 8,86 t/pcs","Ny.09 jelű 8,86 t/db", 6.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,38
,300,323,13,"Ny.10; 9,3 t/pcs","Ny.10 jelű 9,3 t/db", 3.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,39
,300,323,14,"Ny.11;  14,05 t/pcs","Ny.11 jelű 14,05 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,40
,300,323,15,"Ny.12;  9,41 t/pcs","Ny.12 jelű 9,41 t/db", 3.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,41
,300,323,16,"Ny.13;  10,07 t/pcs","Ny.13 jelű 10,07 t/db", 21.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,42
,300,323,17,"Ny.14;  6,38 t/pcs","Ny.14 jelű 6,38 t/db", 2.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,43
,300,323,18,"Ny.15;  7,78 t/pcs","Ny.15 jelű 7,78 t/db", 1.00    ,db,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,44
,,,,"Footing Plinths in-situ RC, 25 cm with Insulation",Monolit lábazati vasbeton elemek szigeteléssel - fagykötény,,,,,,,,,IGAZ,IGAZ,IGAZ,0,,45
,300,323,19,"LG.01(a, b, c)","LG.01(a, b, c)", 754.00    ,fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,46
,300,323,20,LG.02,LG.02, 20.00    ,fm,,0,0,0,0,,HAMIS,HAMIS,HAMIS,0,,47
